c-1,c-2,c-3,c-4,c-5,c-6,c-7,c-8
jaune,2147,Araqua-pintado,2,Lion,789243,Arctic Skipper,"'1984', George Orwell"
schneeweiß,2011,Malvasía Cabeciblanca,2,Mountain Lion,636311,Acmon Blue,"""If you are going through hell, keep going."", Sir Winston Churchill"
schneeweiß,2133,Tüpfelsumpfhuhn,8,Amur Leopard,1.02401e+06,Gray-Veined White,"'The Mark of Zorro', Johnston McCulley"
Grünspan,2112,Araqua-pintado,8,Clouded Leopard,698479,Arctic Skipper,"'1984', George Orwell"
blutrot,2090,Weißwangengans,8,,641511,Dainty Sulphur,"'The Mark of Zorro', Johnston McCulley"
noir,2134,Malvasía Cabeciblanca,8,Jaguar,237257,Gulf Fritillary,"'The Godfather', Mario Puzo"
schneeweiß,2098,Puffin des Baléares,8,,3.05802e+06,Edith's Copper,"'Don Quixote', Miguel de Cervantes"
fumée,2109,Pipit de Godlewski,8,Asiatic Cheetah,605963,"""Agricultural"" Melissa Blue","""Roget's Thesaurus"", Peter Mark Roget"
marrón,2105,Macuco,8,,4.29251e+06,Peacock Butterfly,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
schneeweiß,2098,Purpurreiher,8,Cheetah,734754,Sooty Copper,"""Charlotte's Web"", E.B. White"
Red-violet,2121,Tüpfelsumpfhuhn,8,,795894,Moss' Elfin,"'A Tale of Two Cities', Charles Dickens"
jaune,2059,Pipit de Godlewski,8,,478150,Painted Lady,"'The Godfather', Mario Puzo"
rouge,2093,Purpurreiher,8,Cheetah,1.98727e+06,Pine White,"'20,000 Leagues under the Sea', Jules Verne"
Red-violet,2039,Орёл,4,Asiatic Cheetah,310651,Ringle,"'The Godfather', Mario Puzo"
café,2080,Araqua-pintado,5,,1.13087e+06,Edith's Checkerspot,"'The Exorcist', William Peter Blatty"
fumée,2146,Лебедь,5,Lion,268401,"""Verdi"" Sandhill Skipper","'Watership Down', Richard Adams"
schneeweiß,2136,Weißwangengans,8,,581377,Ox-Eyed Satyr,"'Watership Down', Richard Adams"
zitronengelb,2088,Araqua-pintado,8,Cougar,3.81955e+06,Dainty Sulphur,"""Roget's Thesaurus"", Peter Mark Roget"
fumée,2143,Голубь,1,,936117,Pine White,"'The Grapes of Wrath', John Steinbeck"
pechschwarz,2138,Tüpfelsumpfhuhn,4,,1.39288e+06,Gulf Fritillary,"'A Tale of Two Cities', Charles Dickens"
café,2105,Лебедь,8,Amur Leopard,577481,Behr's Hairstreak,"'Don Quixote', Miguel de Cervantes"
Grünspan,2120,Tüpfelsumpfhuhn,8,Lion,3.00792e+06,Edith's Copper,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
blutrot,2045,Löffelente,8,Asiatic Lion,267523,Gulf Fritillary,"""Moral indignation is jealousy with a halo."", H. G. Wells"
blutrot,2086,Pipit de Godlewski,8,,2.1802e+06,Mylitta Crescent,"'The Exorcist', William Peter Blatty"
marrón,2086,Голубь,8,Lion,455335,Indra Swallowtail,"'Shōgun', James Clavell"
violeta,2082,Голубь,8,,2.98547e+06,Dainty Sulphur,"'Jaws', Peter Benchley"
чёрный,2122,Purpurreiher,8,Clouded Leopard,2.43724e+06,Painted Lady,"""Moral indignation is jealousy with a halo."", H. G. Wells"
jaune,2140,Воробей,4,Lion,210962,Moss' Elfin,"'The Grapes of Wrath', John Steinbeck"
kohlrabenschwarz,2114,Tüpfelsumpfhuhn,8,,2.51995e+06,Purple Hairstreak,"""If you are going through hell, keep going."", Sir Winston Churchill"
rouge,2130,Weißwangengans,8,,3.26213e+06,Pine White,"'Watership Down', Richard Adams"
café,2035,Орёл,8,,372571,Pine White,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
türkis,2040,Ánsar Piquicorto,8,,1.68657e+06,Peacock Butterfly,"""Charlotte's Web"", E.B. White"
zitronengelb,2093,Голубь,8,Lion,3.37932e+06,Edith's Checkerspot,"'A Tale of Two Cities', Charles Dickens"
Orange-red,2089,Macuco,8,,4.22638e+06,Gulf Fritillary,"'Dune', Frank Herbert"
серый,2040,Araqua-pintado,8,,2.09627e+06,"""Verdi"" Sandhill Skipper","'The Godfather', Mario Puzo"
rouge,2142,Araqua-pintado,8,Clouded Leopard,1.13803e+06,Arctic Skipper,"""Moral indignation is jealousy with a halo."", H. G. Wells"
Orange-red,2109,Tüpfelsumpfhuhn,8,,4.38716e+06,"""Verdi"" Sandhill Skipper","'The Godfather', Mario Puzo"
fumée,2095,Pipit de Godlewski,4,Clouded Leopard,1.04043e+06,"Orange Sulphur, Alfalfa Butterfly","'A Tale of Two Cities', Charles Dickens"
Red-violet,2104,Pica-pau-de-penacho,5,,466526,"Faun, Green Comma","""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
café,2022,Голубь,8,,1.32158e+06,Gulf Fritillary,"'The Exorcist', William Peter Blatty"
schneeweiß,2024,Marreca-cabocla,8,Lion,2.27889e+06,Pine White,"'A Tale of Two Cities', Charles Dickens"
jaune,2109,Орёл,8,Jaguar,3.09857e+06,Pine White,"'The Odyssey', Homer"
jaune,2075,Pipit de Godlewski,8,Leopard,1.42741e+06,Behr's Hairstreak,"'The Godfather', Mario Puzo"
violeta,2088,Tüpfelsumpfhuhn,1,Mountain Lion,2.42025e+06,Edith's Copper,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
Cerise,2140,Weißwangengans,8,,1.62913e+06,Behr's Hairstreak,"""Roget's Thesaurus"", Peter Mark Roget"
fumée,2096,Tüpfelsumpfhuhn,8,Snow Leopard,3.20935e+06,Pine White,"'The Godfather', Mario Puzo"
marrón,2136,Goéland d'Amérique,8,Lion,412124,"Orange Sulphur, Alfalfa Butterfly","""Charlotte's Web"", E.B. White"
schneeweiß,2080,Purpurreiher,4,,705118,"""Agricultural"" Melissa Blue","""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
жёлтый,2089,Голубь,8,Jaguar,1.27913e+06,Sooty Copper,"""Charlotte's Web"", E.B. White"
violeta,2095,Purpurreiher,8,Clouded Leopard,2.32756e+06,"Orange Sulphur, Alfalfa Butterfly","'Jaws', Peter Benchley"
pechschwarz,2087,Puffin des Baléares,8,Leopard,801257,Holly Blue,"'The Mark of Zorro', Johnston McCulley"
türkis,2134,Purpurreiher,4,Jaguar,2.16676e+06,Ringle,"'Shōgun', James Clavell"
Grünspan,2070,Purpurreiher,8,Leopard,2.73594e+06,Edith's Copper,"""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
noir,2085,Орёл,2,,1.17635e+06,"""Agricultural"" Melissa Blue","'The Hobbit', J.R.R. Tolkien"
kohlrabenschwarz,2081,Weißwangengans,8,,2.43029e+06,Ringle,"'The Mark of Zorro', Johnston McCulley"
jaune,2115,Pipit de Godlewski,8,,703562,Peacock Butterfly,"""Where's Wally?"", Martin Handford"
schneeweiß,2086,Silbón Europeo,8,,2.22608e+06,"""Verdi"" Sandhill Skipper","""Moral indignation is jealousy with a halo."", H. G. Wells"
rouge,2111,Macreuse à bec jaune,8,Asiatic Lion,3.34269e+06,Ringle,"'Shōgun', James Clavell"
dorado,2034,Pipit de Godlewski,1,Leopard,1.17109e+06,"Orange Sulphur, Alfalfa Butterfly","""There are no facts, only interpretations."", Friedrich Nietzsche"
noir,2095,Орёл,8,,1.36111e+06,Mazarine Blue,"""Where's Wally?"", Martin Handford"
濡れ羽色,2095,Silbón Europeo,8,Leopard,1.01833e+06,"Faun, Green Comma","'The Grapes of Wrath', John Steinbeck"
schneeweiß,2037,Macreuse à bec jaune,8,,1.38905e+06,Holly Blue,"'Catch-22', Joseph Heller"
kohlrabenschwarz,2129,Голубь,8,Cougar,665311,Indra Swallowtail,"'The Exorcist', William Peter Blatty"
墨色,2093,Marreca-cabocla,8,,2.65046e+06,"""Agricultural"" Melissa Blue","'A Tale of Two Cities', Charles Dickens"
rouge,2032,Macuco,3,Lion,804106,"Blue Copper, ""Varied Blue""","'A Tale of Two Cities', Charles Dickens"
púrpura,2083,Weißwangengans,1,Amur Leopard,1.24103e+06,Gulf Fritillary,"""If you are going through hell, keep going."", Sir Winston Churchill"
чёрный,2055,Weißwangengans,8,Clouded Leopard,4.15937e+06,Peacock Butterfly,"'The Mark of Zorro', Johnston McCulley"
Red-violet,2107,Löffelente,0,,2.78447e+06,Ringle,"'Watership Down', Richard Adams"
kohlrabenschwarz,2148,Silbón Europeo,8,,21676.9,Ox-Eyed Satyr,"'The Mark of Zorro', Johnston McCulley"
黄枯茶,2122,Silbón Europeo,8,,1.00035e+06,Pine White,"'The Exorcist', William Peter Blatty"
Cerise,2080,Лебедь,8,Leopard,1.05528e+06,"""Verdi"" Sandhill Skipper","'1984', George Orwell"
schneeweiß,2116,Marreca-cabocla,3,Amur Leopard,558152,Peacock Butterfly,"'Watership Down', Richard Adams"
Cerise,2052,Macreuse à bec jaune,8,Snow Leopard,660007,"""Verdi"" Sandhill Skipper","'The Grapes of Wrath', John Steinbeck"
jaune,2047,Weißwangengans,8,Cheetah,2.61925e+06,Gulf Fritillary,"'A Tale of Two Cities', Charles Dickens"
pechschwarz,2119,Silbón Europeo,7,,725365,"""Agricultural"" Melissa Blue","'The Mark of Zorro', Johnston McCulley"
Orange-red,2109,Silbón Europeo,8,Leopard,3.21104e+06,Red Admiral,"'Catch-22', Joseph Heller"
pechschwarz,2067,Malvasía Cabeciblanca,8,,934031,Acmon Blue,"'The Hobbit', J.R.R. Tolkien"
altrosa,2138,Macreuse à bec jaune,8,Cougar,147811,Gulf Fritillary,"'The Godfather', Mario Puzo"
café,2080,Pipit de Godlewski,8,Asiatic Lion,36143.5,Pine White,"'The Odyssey', Homer"
Indigo,2043,Ánsar Piquicorto,8,Jaguar,113219,Sooty Copper,"'The Mark of Zorro', Johnston McCulley"
jaune,2053,Macreuse à bec jaune,5,,645336,Holly Blue,"""There are no facts, only interpretations."", Friedrich Nietzsche"
rouge,2111,Weißwangengans,0,Amur Leopard,3.15281e+06,"Faun, Green Comma","'The Mark of Zorro', Johnston McCulley"
marrón,2112,Araqua-pintado,8,Cougar,245916,Ox-Eyed Satyr,"""Roget's Thesaurus"", Peter Mark Roget"
Cerise,2136,Silbón Europeo,8,Lion,2.86399e+06,"Faun, Green Comma","""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
blutrot,2130,Marreca-cabocla,8,Asiatic Lion,1.84306e+06,Arctic Skipper,"'The Hobbit', J.R.R. Tolkien"
blutrot,2096,Araqua-pintado,5,,864463,"""Agricultural"" Melissa Blue","""There are no facts, only interpretations."", Friedrich Nietzsche"
rouge,2115,Weißwangengans,8,Cheetah,379296,Pine White,"""Charlotte's Web"", E.B. White"
violeta,2075,Macreuse à bec jaune,4,,807337,Pine White,"""Roget's Thesaurus"", Peter Mark Roget"
dorado,2138,Pipit de Godlewski,8,Asiatic Cheetah,1.47987e+06,Gulf Fritillary,"'The Hobbit', J.R.R. Tolkien"
красный,2057,Araqua-pintado,5,Lion,1.56668e+06,"""Agricultural"" Melissa Blue","""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
жёлтый,2117,Pipit de Godlewski,3,,901145,Pine White,"'20,000 Leagues under the Sea', Jules Verne"
rouge,2112,Tüpfelsumpfhuhn,8,,1.35154e+06,Ox-Eyed Satyr,"'The Grapes of Wrath', John Steinbeck"
красный,2125,Puffin des Baléares,8,Cheetah,2.79492e+06,"Orange Sulphur, Alfalfa Butterfly","""Roget's Thesaurus"", Peter Mark Roget"
kohlrabenschwarz,2110,Pipit de Godlewski,8,,2.32048e+06,Ox-Eyed Satyr,"""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
pechschwarz,2143,Marreca-cabocla,8,Clouded Leopard,767575,Pine White,"'Catch-22', Joseph Heller"
jaune,2132,Pipit de Godlewski,8,Leopard,2.58077e+06,Edith's Copper,"'Don Quixote', Miguel de Cervantes"
紅梅色,2037,Голубь,8,Leopard,193425,Sandhill Skipper,"""Do, or do not. There is no 'try'."", Yoda"
dorado,2084,Puffin des Baléares,8,Leopard,2.04594e+06,Ox-Eyed Satyr,"'The Mark of Zorro', Johnston McCulley"
fumée,2149,Malvasía Cabeciblanca,8,,206832,Moss' Elfin,"""Moral indignation is jealousy with a halo."", H. G. Wells"
blutrot,2107,Porrón Islándico,1,Jaguar,2.42799e+06,"Orange Sulphur, Alfalfa Butterfly","'Watership Down', Richard Adams"
Orange-red,2081,Silbón Europeo,2,,1.42397e+06,"""Verdi"" Sandhill Skipper","'The Godfather', Mario Puzo"
altrosa,2129,Pipit de Godlewski,8,,199476,Dainty Sulphur,"'Watership Down', Richard Adams"
Red-violet,2082,Malvasía Cabeciblanca,8,,2.56977e+06,"Faun, Green Comma","'Watership Down', Richard Adams"
púrpura,2131,Purpurreiher,4,Leopard,772862,Gulf Fritillary,"'The Godfather', Mario Puzo"
濡れ羽色,2123,Weißwangengans,8,Leopard,1.84549e+06,"Faun, Green Comma","'1984', George Orwell"
pechschwarz,2048,Tüpfelsumpfhuhn,11,Snow Leopard,1.24342e+06,"Faun, Green Comma","'Watership Down', Richard Adams"
pechschwarz,2100,Weißwangengans,8,Leopard,1.71132e+06,"Faun, Green Comma","""Moral indignation is jealousy with a halo."", H. G. Wells"
pechschwarz,2009,Araqua-pintado,4,Mountain Lion,1.30192e+06,Moss' Elfin,"'The Godfather', Mario Puzo"
marrón,2133,Орёл,2,Clouded Leopard,1.19148e+06,Peacock Butterfly,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
púrpura,2066,Malvasía Cabeciblanca,8,Leopard,431635,Edith's Checkerspot,"'The Godfather', Mario Puzo"
blutrot,2112,Silbón Europeo,8,Cheetah,2.56645e+06,Pine White,"'The Godfather', Mario Puzo"
濡れ羽色,2126,Pipit de Godlewski,8,Cougar,1.92349e+06,Moss' Elfin,"""Roget's Thesaurus"", Peter Mark Roget"
白湯,2142,Marreca-cabocla,5,Amur Leopard,2.9605e+06,"Orange Sulphur, Alfalfa Butterfly","""Moral indignation is jealousy with a halo."", H. G. Wells"
Red-violet,2041,Воробей,8,Clouded Leopard,4.23705e+06,Ringle,"'Watership Down', Richard Adams"
türkis,2043,Pipit de Godlewski,4,Jaguar,1.23385e+06,Indra Swallowtail,"""Charlotte's Web"", E.B. White"
Grünspan,2137,Tüpfelsumpfhuhn,8,,1.12876e+06,"Orange Sulphur, Alfalfa Butterfly","'Watership Down', Richard Adams"
fumée,2138,Löffelente,8,Amur Leopard,202833,"Faun, Green Comma","""Moral indignation is jealousy with a halo."", H. G. Wells"
schneeweiß,2107,Macreuse à bec jaune,0,Lion,1.41718e+06,"Faun, Green Comma","'A Tale of Two Cities', Charles Dickens"
blutrot,2096,Голубь,8,Clouded Leopard,2.62212e+06,Indra Swallowtail,"""Roget's Thesaurus"", Peter Mark Roget"
marrón,2056,Araqua-pintado,8,,2.85279e+06,Arctic Skipper,"""There are no facts, only interpretations."", Friedrich Nietzsche"
café,2103,Purpurreiher,5,Lion,1.7392e+06,Pine White,"""Where's Wally?"", Martin Handford"
türkis,2097,Macreuse à bec jaune,8,Cheetah,1.72058e+06,"""Verdi"" Sandhill Skipper","'20,000 Leagues under the Sea', Jules Verne"
rouge,2051,Лебедь,8,,890661,Ringle,"""Roget's Thesaurus"", Peter Mark Roget"
marrón,2149,Weißwangengans,8,Clouded Leopard,2.27732e+06,Gray-Veined White,"'The Exorcist', William Peter Blatty"
rouge,2069,Pipit de Godlewski,8,Asiatic Lion,573811,Gray-Veined White,"'The Grapes of Wrath', John Steinbeck"
noir,2053,Воробей,8,Asiatic Lion,635126,"Faun, Green Comma","'A Tale of Two Cities', Charles Dickens"
marrón,2076,Macreuse à bec jaune,8,Leopard,3.47431e+06,Dainty Sulphur,"""If you are going through hell, keep going."", Sir Winston Churchill"
rouge,2071,Malvasía Cabeciblanca,10,Jaguar,1.54457e+06,Dainty Sulphur,"'Shōgun', James Clavell"
púrpura,2048,Weißwangengans,8,Lion,2.2861e+06,"Orange Sulphur, Alfalfa Butterfly","'Don Quixote', Miguel de Cervantes"
Red-violet,2082,Araqua-pintado,4,,795958,Mazarine Blue,"'Dune', Frank Herbert"
pechschwarz,2128,Лебедь,8,Asiatic Lion,2.84133e+06,Anise Swallowtail,"'Catch-22', Joseph Heller"
Grünspan,2111,Puffin des Baléares,8,,2.40115e+06,Mazarine Blue,"""Charlotte's Web"", E.B. White"
púrpura,2113,Pipit de Godlewski,8,,1.56887e+06,"Faun, Green Comma","'Don Quixote', Miguel de Cervantes"
zitronengelb,2108,Weißwangengans,8,,1.82632e+06,Mylitta Crescent,"'Catch-22', Joseph Heller"
blutrot,2083,Löffelente,8,,2.10476e+06,"Icarioides Blue, Boisduval's Blue","'The Grapes of Wrath', John Steinbeck"
púrpura,2067,Purpurreiher,8,Leopard,171517,Pine White,"'The Mark of Zorro', Johnston McCulley"
Red-violet,2035,Araqua-pintado,8,Clouded Leopard,344982,Edith's Checkerspot,"'Watership Down', Richard Adams"
türkis,2100,Голубь,8,Snow Leopard,1.90459e+06,Dainty Sulphur,"'The Mark of Zorro', Johnston McCulley"
rouge,2134,Tüpfelsumpfhuhn,8,Cheetah,1.09671e+06,Peacock Butterfly,"'20,000 Leagues under the Sea', Jules Verne"
ébène,2071,Silbón Europeo,5,Jaguar,3.21396e+06,Ox-Eyed Satyr,"""Roget's Thesaurus"", Peter Mark Roget"
noir,2135,Purpurreiher,1,Cheetah,1.53723e+06,Pine White,"'The Godfather', Mario Puzo"
jaune,2119,Лебедь,8,,2.81063e+06,Dainty Sulphur,"'A Tale of Two Cities', Charles Dickens"
türkis,2130,Silbón Europeo,8,,3.50781e+06,Ox-Eyed Satyr,"'Don Quixote', Miguel de Cervantes"
marrón,2122,Purpurreiher,8,Asiatic Lion,3.14831e+06,Gulf Fritillary,"'The Hobbit', J.R.R. Tolkien"
rouge,2082,Purpurreiher,8,Asiatic Lion,258844,Ringle,"'The Hobbit', J.R.R. Tolkien"
Indigo,2130,Löffelente,8,Mountain Lion,81756.6,"""Agricultural"" Melissa Blue","""There are no facts, only interpretations."", Friedrich Nietzsche"
blutrot,2110,Tüpfelsumpfhuhn,5,Asiatic Lion,527966,Reakirt's Blue,"""There are no facts, only interpretations."", Friedrich Nietzsche"
濡れ羽色,2014,Macreuse à bec jaune,8,,998466,"""Verdi"" Sandhill Skipper","'The Grapes of Wrath', John Steinbeck"
café,2135,Löffelente,8,Cheetah,3.53174e+06,"Icarioides Blue, Boisduval's Blue","""Roget's Thesaurus"", Peter Mark Roget"
Cerise,2104,Weißwangengans,8,,3.44757e+06,Pine White,"""Charlotte's Web"", E.B. White"
púrpura,2081,Weißwangengans,4,Lion,4.15366e+06,Pine White,"'1984', George Orwell"
чёрный,2140,Голубь,5,,2.2297e+06,Behr's Hairstreak,"""There are no facts, only interpretations."", Friedrich Nietzsche"
ébène,2031,Голубь,8,Mountain Lion,2.05186e+06,Moss' Elfin,"'The Mark of Zorro', Johnston McCulley"
Grünspan,2135,Araqua-pintado,8,Leopard,348109,Gulf Fritillary,"'Watership Down', Richard Adams"
café,2087,Macreuse à bec jaune,8,,3.68249e+06,"""Verdi"" Sandhill Skipper","'Catch-22', Joseph Heller"
altrosa,2092,Purpurreiher,4,,187216,Dainty Sulphur,"'Shōgun', James Clavell"
fumée,2130,Silbón Europeo,8,,118513,"Faun, Green Comma","""Charlotte's Web"", E.B. White"
altrosa,2069,Malvasía Cabeciblanca,8,,342966,Ringle,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
marrón,2105,Macreuse à bec jaune,5,Clouded Leopard,3.15916e+06,Anise Swallowtail,"'Don Quixote', Miguel de Cervantes"
jaune,2113,Araqua-pintado,8,,2.56897e+06,"""Verdi"" Sandhill Skipper","""Where's Wally?"", Martin Handford"
Orange-red,2043,Tüpfelsumpfhuhn,8,Cheetah,2.70979e+06,"""Verdi"" Sandhill Skipper","'The Grapes of Wrath', John Steinbeck"
jaune,2057,Löffelente,8,,886352,Holly Blue,"'The Mark of Zorro', Johnston McCulley"
púrpura,2131,Pipit de Godlewski,8,,2.79808e+06,Peacock Butterfly,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
rouge,2027,Орёл,8,Leopard,904377,"Icarioides Blue, Boisduval's Blue","'The Godfather', Mario Puzo"
красный,2051,Purpurreiher,8,,2.64267e+06,Gulf Fritillary,"""Roget's Thesaurus"", Peter Mark Roget"
violeta,2147,Purpurreiher,8,Lion,201832,"""Verdi"" Sandhill Skipper","'A Tale of Two Cities', Charles Dickens"
墨色,2146,Лебедь,8,,3.20915e+06,Gray-Veined White,"'The Exorcist', William Peter Blatty"
красный,2093,Malvasía Cabeciblanca,8,Jaguar,364103,"Blue Copper, ""Varied Blue""","'The Grapes of Wrath', John Steinbeck"
schneeweiß,2142,Голубь,8,Snow Leopard,2.17766e+06,Ringle,"'The Exorcist', William Peter Blatty"
marrón,2019,Macuco,8,Cheetah,316678,Holly Blue,"'1984', George Orwell"
café,2070,Tüpfelsumpfhuhn,2,Snow Leopard,2.41105e+06,Anise Swallowtail,"""Charlotte's Web"", E.B. White"
blutrot,2131,Pipit de Godlewski,8,Cheetah,1.50808e+06,Peacock Butterfly,"""Charlotte's Web"", E.B. White"
türkis,2113,Weißwangengans,1,Asiatic Cheetah,4.13668e+06,"""Verdi"" Sandhill Skipper","'The Mark of Zorro', Johnston McCulley"
jaune,2018,Purpurreiher,1,,1.08309e+06,Arctic Skipper,"""Charlotte's Web"", E.B. White"
blanc,2094,Araqua-pintado,8,Cougar,1.06521e+06,Edith's Checkerspot,"""Roget's Thesaurus"", Peter Mark Roget"
violeta,2086,Tüpfelsumpfhuhn,8,Cheetah,2.88516e+06,Behr's Hairstreak,"'Catch-22', Joseph Heller"
marrón,2144,Лебедь,7,,2.34594e+06,Gulf Fritillary,"'The Grapes of Wrath', John Steinbeck"
café,2047,Macreuse à bec jaune,8,,597640,Edith's Checkerspot,"'The Mark of Zorro', Johnston McCulley"
pechschwarz,2135,Macreuse à bec jaune,8,Asiatic Lion,3.59894e+06,Gulf Fritillary,"'The Godfather', Mario Puzo"
fumée,2090,Araqua-pintado,8,,978993,"Icarioides Blue, Boisduval's Blue","'The Grapes of Wrath', John Steinbeck"
濡れ羽色,2109,Pipit de Godlewski,8,,2.1873e+06,Holly Blue,"'A Tale of Two Cities', Charles Dickens"
Grünspan,2101,Tüpfelsumpfhuhn,11,Snow Leopard,2.60395e+06,Moss' Elfin,"""Where's Wally?"", Martin Handford"
jaune,2140,Воробей,8,,464568,"Crown Fritillary, Coronis Fritillary","""If you are going through hell, keep going."", Sir Winston Churchill"
rouge,2109,Löffelente,8,Leopard,721839,Arctic Skipper,"'The Mark of Zorro', Johnston McCulley"
blutrot,2135,Голубь,8,,1.22938e+06,Peacock Butterfly,"'A Tale of Two Cities', Charles Dickens"
blanc,2141,Silbón Europeo,8,,369175,"""Agricultural"" Melissa Blue","""Roget's Thesaurus"", Peter Mark Roget"
céruse,2128,Лебедь,8,,4.02463e+06,"Icarioides Blue, Boisduval's Blue","'The Odyssey', Homer"
marrón,2068,Лебедь,8,,1.76395e+06,Gray-Veined White,"'The Mark of Zorro', Johnston McCulley"
noir,2012,Purpurreiher,8,Cheetah,288687,Reakirt's Blue,"'Jaws', Peter Benchley"
marrón,2080,Marreca-cabocla,5,,2.21182e+06,Dainty Sulphur,"""Charlotte's Web"", E.B. White"
jaune,2106,Tüpfelsumpfhuhn,8,Clouded Leopard,972638,"Faun, Green Comma","""Moral indignation is jealousy with a halo."", H. G. Wells"
Grünspan,2134,Silbón Europeo,8,,2.35657e+06,Mazarine Blue,"""Moral indignation is jealousy with a halo."", H. G. Wells"
schneeweiß,2136,Weißwangengans,8,Cheetah,3.27756e+06,"Orange Sulphur, Alfalfa Butterfly","""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
türkis,2093,Голубь,4,,760639,"Orange Sulphur, Alfalfa Butterfly","'A Tale of Two Cities', Charles Dickens"
schneeweiß,2149,Weißwangengans,8,,4.46406e+06,Mazarine Blue,"'The Grapes of Wrath', John Steinbeck"
Grünspan,2031,Silbón Europeo,8,Leopard,825720,"""Agricultural"" Melissa Blue","'1984', George Orwell"
Red-violet,2111,Araqua-pintado,5,Lion,1.51809e+06,Gulf Fritillary,"'The Hobbit', J.R.R. Tolkien"
kohlrabenschwarz,2119,Лебедь,9,Mountain Lion,3.51189e+06,Ringle,"""I find that the harder I work, the more luck I seem to have."", Thomas Jefferson"
türkis,2116,Воробей,8,Leopard,3.46845e+06,Ringle,"'Jaws', Peter Benchley"
rouge,2128,Purpurreiher,8,Cougar,1.35782e+06,Gulf Fritillary,"""Charlotte's Web"", E.B. White"
marrón,2115,Macreuse à bec jaune,8,Amur Leopard,3.69666e+06,Sooty Copper,"""In theory, there is no difference between theory and practice. But in practice, there is."", Yogi Berra"
ébène,2141,Silbón Europeo,8,Leopard,1.44157e+06,"Faun, Green Comma","""Roget's Thesaurus"", Peter Mark Roget"
jaune,2069,Araqua-pintado,8,,1.21999e+06,Behr's Hairstreak,"'Watership Down', Richard Adams"
kohlrabenschwarz,2095,Puffin des Baléares,8,Asiatic Cheetah,502405,Pine White,"""Roget's Thesaurus"", Peter Mark Roget"
Grünspan,2034,Araqua-pintado,8,Mountain Lion,3.11736e+06,Peacock Butterfly,"""Glory is fleeting, but obscurity is forever."", Napoleon Bonaparte"
marrón,2119,Löffelente,8,Clouded Leopard,300079,Sooty Copper,"""Where's Wally?"", Martin Handford"
schneeweiß,2107,Purpurreiher,8,Cheetah,2.64204e+06,Gulf Fritillary,"'Watership Down', Richard Adams"
白湯,2143,Malvasía Cabeciblanca,8,Jaguar,816557,Holly Blue,"'The Grapes of Wrath', John Steinbeck"
fumée,2114,Лебедь,5,Leopard,3.14707e+06,Gray-Veined White,"""If you are going through hell, keep going."", Sir Winston Churchill"
Orange-red,2087,Ánsar Piquicorto,5,Jaguar,2.28809e+06,"Orange Sulphur, Alfalfa Butterfly","'The Godfather', Mario Puzo"
blanc,2027,Weißwangengans,8,Lion,1.76732e+06,"""Agricultural"" Melissa Blue","'20,000 Leagues under the Sea', Jules Verne"
rouge,2090,Marreca-cabocla,8,,2.82142e+06,Ox-Eyed Satyr,"""If you are going through hell, keep going."", Sir Winston Churchill"
ébène,2022,Macreuse à bec jaune,8,Cheetah,1.23643e+06,Sooty Copper,"'Shōgun', James Clavell"
blutrot,2034,Macreuse à bec jaune,5,Leopard,3.08175e+06,Dainty Sulphur,"""Where's Wally?"", Martin Handford"
rouge,2132,Weißwangengans,8,,668106,Ringle,"'The Hobbit', J.R.R. Tolkien"
fumée,2092,Weißwangengans,8,Cheetah,926418,Edith's Checkerspot,"'Dune', Frank Herbert"
violeta,2123,Macuco,8,Leopard,1.86099e+06,"Orange Sulphur, Alfalfa Butterfly","""Do, or do not. There is no 'try'."", Yoda"
красный,2148,Purpurreiher,8,,892161,Indra Swallowtail,"'The Grapes of Wrath', John Steinbeck"
pechschwarz,2113,Purpurreiher,2,Snow Leopard,1.5149e+06,Dainty Sulphur,"'Shōgun', James Clavell"
kohlrabenschwarz,2097,Macreuse à bec jaune,8,Jaguar,139413,Pine White,"'The Godfather', Mario Puzo"
blutrot,2133,Воробей,10,Clouded Leopard,2.21163e+06,Gulf Fritillary,"'A Tale of Two Cities', Charles Dickens"
濡れ羽色,2149,Macreuse à bec jaune,8,,1.38085e+06,"""Verdi"" Sandhill Skipper","'Catch-22', Joseph Heller"
красный,2134,Голубь,4,Leopard,486462,"""Verdi"" Sandhill Skipper","""Moral indignation is jealousy with a halo."", H. G. Wells"
Grünspan,2117,Silbón Europeo,8,Leopard,259438,Purple Hairstreak,"""Roget's Thesaurus"", Peter Mark Roget"
