c-1,c-2,c-3,c-4,c-5,c-6,c-7,c-8
rouge,2137,Голубь,1,,347797,32569.7,3.12853e+06,
серый,2099,Malvasía Cabeciblanca,4,Leopard,3.8425e+06,945893,4.98851e+06,
Grünspan,2112,Weißwangengans,2,Leopard,995863,945155,1.14513e+06,
violeta,2109,Ánsar Piquicorto,3,Clouded Leopard,3.67969e+06,626545,6.20002e+06,
jaune,2017,Macreuse à bec jaune,4,Clouded Leopard,3.22676e+06,96951.1,8.60479e+06,
schneeweiß,2120,Weißwangengans,4,,1.50546e+06,892894,6.45882e+06,
красный,2141,Голубь,1,Clouded Leopard,3.28429e+06,214688,1.39904e+07,
türkis,2135,Лебедь,2,,2.91736e+06,77719.6,9.57775e+06,
rouge,2036,Pipit de Godlewski,4,,1.14059e+06,341760,4.76252e+06,
blutrot,2125,Silbón Europeo,1,Leopard,3.69137e+06,345607,346207,
pechschwarz,2088,Araqua-pintado,2,,2.30467e+06,818966,914095,
Grünspan,2045,Pipit de Godlewski,4,Snow Leopard,383082,195303,532604,
blutrot,2137,Macreuse à bec jaune,1,Mountain Lion,1.44663e+06,495490,9.03651e+06,
türkis,2099,Pipit de Godlewski,2,,1.277e+06,489470,548139,
rouge,2027,Pipit de Godlewski,1,Amur Leopard,388404,783597,6.44397e+06,
Grünspan,2050,Pipit de Godlewski,4,Jaguar,2.07933e+06,424560,2.26883e+06,
Cerise,2022,Ánsar Piquicorto,3,,948005,793471,4.09676e+06,
blutrot,2055,Macreuse à bec jaune,0,Asiatic Lion,803091,396375,7.05922e+06,
Red-violet,2080,Лебедь,1,Amur Leopard,3.87541e+06,855198,6.24505e+06,
красный,2052,Macreuse à bec jaune,4,Jaguar,2.68357e+06,407232,7.9725e+06,
schneeweiß,2060,Purpurreiher,4,Leopard,4.01122e+06,699267,1.43511e+06,
púrpura,2136,Tüpfelsumpfhuhn,1,,628268,297837,5.63076e+06,
rouge,2018,Purpurreiher,0,Asiatic Lion,1.19792e+06,264510,8.89082e+06,
красный,2146,Löffelente,4,,4.71895e+06,13550,3.77789e+06,
dorado,2015,Орёл,4,Cheetah,1.42142e+06,771960,8.6504e+06,
schneeweiß,2066,Голубь,2,Cheetah,1.88484e+06,510453,5.29132e+06,
violeta,2057,Weißwangengans,0,,780740,391377,4.63026e+06,
pechschwarz,2061,Голубь,0,Cougar,4.22766e+06,699161,785327,
Grünspan,2129,Pica-pau-de-penacho,4,,3.29713e+06,1.05718e+06,5.678e+06,
jaune,2101,Silbón Europeo,2,Cougar,1.20914e+06,279064,2.55224e+06,
暗紅色/暗赤色,2080,Löffelente,4,Lion,352797,288941,763133,
altrosa,2137,Ánsar Piquicorto,4,Jaguar,1.20532e+06,586280,3.71296e+06,
violeta,2125,Araqua-pintado,1,,1.28194e+06,71555.9,1.25966e+06,
púrpura,2123,Pica-pau-de-penacho,0,,4.11961e+06,142246,2.42107e+06,
jaune,2142,Pipit de Godlewski,1,Cougar,1.13277e+06,280210,8.49358e+06,
красный,2109,Malvasía Cabeciblanca,4,,2.51492e+06,824269,7.56781e+06,
café,2136,Porrón Islándico,1,,2.23775e+06,791844,970609,
blutrot,2092,Tüpfelsumpfhuhn,4,Clouded Leopard,3.8858e+06,774689,6.14035e+06,
blutrot,2042,Pipit de Godlewski,4,,2.09731e+06,851033,7.31747e+06,
violeta,2093,Ánsar Piquicorto,4,Leopard,331647,108729,3.29657e+06,
marrón,2050,Weißwangengans,4,Cheetah,3.52968e+06,99570.3,3.09644e+06,
violeta,2074,Голубь,1,,1.60734e+06,1.10547e+06,8.28548e+06,
fumée,2145,Голубь,2,Leopard,1.43184e+06,105792,7.53457e+06,
café,2136,Pipit de Godlewski,4,Amur Leopard,2.45987e+06,858272,4.578e+06,
白湯,2057,Ánsar Piquicorto,1,,1.05779e+06,330647,607068,
Red-violet,2081,Araqua-pintado,1,,1.13262e+06,205416,178291,
Orange-red,2062,Weißwangengans,4,Asiatic Lion,3.84684e+06,546290,1.8957e+06,
dorado,2132,Pica-pau-de-penacho,2,Mountain Lion,934466,817456,8.05754e+06,
blutrot,2115,Macreuse à bec jaune,2,,2.87335e+06,229622,468231,
Cerise,2090,Silbón Europeo,1,Snow Leopard,523889,326711,1.0315e+07,
Grünspan,2040,Porrón Islándico,1,Lion,279541,586700,1.10606e+07,
schneeweiß,2093,Araqua-pintado,1,,2.82801e+06,266036,30431.2,
ébène,2089,Macreuse à bec jaune,0,,3.73367e+06,937117,1.5906e+06,
dorado,2037,Лебедь,2,,2.19661e+06,1.01119e+06,2.99119e+06,
schneeweiß,2135,Голубь,4,,1.60056e+06,280095,6.89507e+06,
blutrot,2125,Голубь,4,Leopard,3.5057e+06,248541,7.39942e+06,
jaune,2113,Goéland d'Amérique,4,Clouded Leopard,843538,404201,9.58429e+06,
púrpura,2136,Goéland d'Amérique,1,Lion,2.55973e+06,280028,4.20371e+06,
blutrot,2112,Macreuse à bec jaune,1,Clouded Leopard,749229,749412,2.17927e+06,
жёлтый,2145,Pica-pau-de-penacho,0,,578062,570881,3.23737e+06,
schneeweiß,2132,Löffelente,1,,798514,874126,402369,
pechschwarz,2103,Tüpfelsumpfhuhn,1,Clouded Leopard,3.46632e+06,600213,4.02805e+06,
暗紅色/暗赤色,2129,Голубь,4,Asiatic Lion,1.3398e+06,948127,103556,
Red-violet,2019,Araqua-pintado,1,,1.67341e+06,204235,1.13121e+07,
rouge,2122,Macreuse à bec jaune,2,Asiatic Lion,3.73261e+06,52648.4,1.15564e+07,
marrón,2135,Araqua-pintado,1,Leopard,2.81532e+06,594862,237097,
白湯,2127,Purpurreiher,4,,2.62609e+06,552234,7.71682e+06,
blutrot,2140,Purpurreiher,4,,408428,598131,4.52559e+06,
Red-violet,2137,Pipit de Godlewski,2,Cougar,4.30669e+06,1.03261e+06,829445,
Orange-red,2054,Araqua-pintado,4,Lion,2.3697e+06,893924,766081,
jaune,2128,Malvasía Cabeciblanca,1,Cougar,507313,26966.4,614349,
jaune,2131,Pipit de Godlewski,4,,1.30963e+06,345082,1.11262e+07,
violeta,2086,Pipit de Godlewski,2,Leopard,1.47679e+06,86987,4.37426e+06,
türkis,2083,Silbón Europeo,1,Leopard,860201,801782,5.97636e+06,
白湯,2051,Pica-pau-de-penacho,1,,603267,178786,5.93364e+06,
blutrot,2144,Marreca-cabocla,4,Cougar,2.58143e+06,721878,4.91929e+06,
blutrot,2080,Голубь,4,Asiatic Cheetah,1.42606e+06,320495,4.48827e+06,
schneeweiß,2068,Silbón Europeo,1,Lion,2.86238e+06,12956.8,6.25542e+06,
marrón,2095,Лебедь,1,Asiatic Lion,351142,17228.2,7.03072e+06,
коричневый,2066,Marreca-cabocla,4,,840030,275467,2.8262e+06,
Red-violet,2127,Weißwangengans,1,,1.11114e+06,431018,3.40916e+06,
marrón,2113,Воробей,4,Cougar,2.2825e+06,225456,6.73369e+06,
pechschwarz,2098,Puffin des Baléares,0,Mountain Lion,3.53655e+06,735733,758005,
café,2097,Орёл,1,Cougar,446696,979561,583120,
kohlrabenschwarz,2128,Macreuse à bec jaune,4,Lion,3.7677e+06,537077,1.55516e+06,
Red-violet,2067,Purpurreiher,1,Snow Leopard,1.73016e+06,594158,6.20398e+06,
濡れ羽色,2038,Голубь,0,,2.61045e+06,832746,1.52032e+06,
café,2032,Орёл,4,Leopard,2.43184e+06,120706,7.51381e+06,
Grünspan,2070,Weißwangengans,1,Cougar,3.93649e+06,599238,5.5451e+06,
blanc,2102,Puffin des Baléares,4,Clouded Leopard,485680,169392,2.15469e+06,
violeta,2108,Araqua-pintado,4,,1.38256e+06,383867,9.31995e+06,
rouge,2046,Silbón Europeo,4,Lion,497592,1.35327e+06,319118,
marrón,2103,Weißwangengans,0,Lion,671033,417502,8.13391e+06,
серый,2028,Löffelente,2,,395957,230199,528271,
Red-violet,2094,Marreca-cabocla,1,Jaguar,2.48861e+06,636696,1.19648e+07,
türkis,2081,Pipit de Godlewski,1,Jaguar,638068,92277.7,1.09436e+07,
jaune,2088,Löffelente,4,Asiatic Cheetah,520647,324017,1.20254e+06,
kohlrabenschwarz,2118,Puffin des Baléares,4,Clouded Leopard,364759,678789,4.0252e+06,
pechschwarz,2097,Weißwangengans,4,Jaguar,475718,12027.9,6.25708e+06,
Grünspan,2094,Araqua-pintado,1,Asiatic Lion,579510,1.19144e+06,973402,
чёрный,2016,Löffelente,4,Leopard,3.62328e+06,1.09188e+06,2.27973e+06,
暗紅色/暗赤色,2076,Pipit de Godlewski,1,Cheetah,964094,582742,5.15792e+06,
marrón,2127,Marreca-cabocla,2,Leopard,2.84705e+06,518236,4.61164e+06,
zitronengelb,2086,Marreca-cabocla,2,,1.21158e+06,856467,2.24651e+06,
黄枯茶,2117,Pipit de Godlewski,4,Amur Leopard,563967,650530,9.59441e+06,
Grünspan,2112,Pipit de Godlewski,1,Asiatic Cheetah,706809,225015,2.83222e+06,
blutrot,2140,Weißwangengans,4,Mountain Lion,462266,1.00605e+06,9.61517e+06,
濡れ羽色,2065,Araqua-pintado,0,Amur Leopard,2.07788e+06,626106,4.35785e+06,
türkis,2057,Marreca-cabocla,4,,1.61248e+06,1.45416e+06,323837,
rouge,2123,Purpurreiher,2,,3.64485e+06,1.01019e+06,1.02568e+07,
pechschwarz,2131,Macuco,2,,640925,543539,879564,
серый,2073,Silbón Europeo,4,Snow Leopard,3.2816e+06,231371,2.05111e+06,
jaune,2116,Araqua-pintado,4,Mountain Lion,1.22875e+06,987189,2.09396e+06,
altrosa,2137,Pipit de Godlewski,2,Asiatic Cheetah,3.20159e+06,63028.6,6.2946e+06,
fumée,2028,Weißwangengans,0,,683655,118024,6.13619e+06,
暗紅色/暗赤色,2042,Macuco,2,,2.45646e+06,286462,5.42018e+06,
türkis,2101,Tüpfelsumpfhuhn,1,Mountain Lion,3.60648e+06,59982.1,4.22699e+06,
blutrot,2138,Голубь,2,Asiatic Lion,448628,332317,3.12941e+06,
altrosa,2123,Macuco,4,,1.58576e+06,122158,9.77466e+06,
violeta,2112,Голубь,1,Lion,343855,170077,3.23751e+06,
ébène,2141,Purpurreiher,2,Mountain Lion,416577,403223,6.9706e+06,
kohlrabenschwarz,2028,Орёл,1,Asiatic Cheetah,186770,1.00261e+06,1.15686e+07,
紅梅色,2087,Araqua-pintado,1,Clouded Leopard,2.03761e+06,448540,1.3286e+07,
коричневый,2105,Löffelente,2,,322607,611763,599362,
Orange-red,2134,Macreuse à bec jaune,1,Cougar,843357,1.09933e+06,7.10983e+06,
pechschwarz,2124,Pipit de Godlewski,2,Lion,2.25477e+06,1.02995e+06,6.83324e+06,
濡れ羽色,2126,Ánsar Piquicorto,1,Cougar,1.13651e+06,140234,439593,
красный,2084,Macreuse à bec jaune,4,Asiatic Cheetah,2.79459e+06,380255,1.54186e+06,
púrpura,2039,Weißwangengans,2,,2.47403e+06,728708,9.06876e+06,
pechschwarz,2114,Löffelente,4,Asiatic Lion,1.48815e+06,347051,5.73965e+06,
altrosa,2148,Орёл,4,Asiatic Lion,1.33005e+06,281520,1.04257e+07,
zitronengelb,2148,Porrón Islándico,1,Cougar,1.38235e+06,324082,2.02797e+06,
altrosa,2053,Weißwangengans,4,Cheetah,4.14763e+06,1.00723e+06,4.16357e+06,
Cerise,2065,Silbón Europeo,3,,964780,578548,202232,
серый,2102,Голубь,4,Leopard,717904,35771.3,5.04327e+06,
púrpura,2020,Tüpfelsumpfhuhn,2,Leopard,510876,695915,412445,
violeta,2112,Weißwangengans,0,Leopard,3.80291e+06,176066,5.85236e+06,
jaune,2146,Голубь,4,Jaguar,2.74121e+06,572733,6.05539e+06,
fumée,2084,Silbón Europeo,1,Leopard,3.40217e+06,275198,5.46169e+06,
白湯,2091,Pipit de Godlewski,2,,1.056e+06,1.27579e+06,4.39326e+06,
красный,2066,Tüpfelsumpfhuhn,1,,833513,614917,7.48608e+06,
noir,2054,Macuco,1,,486247,193028,5.90838e+06,
café,2125,Воробей,4,,3.79179e+06,160927,3.60481e+06,
blutrot,2110,Macreuse à bec jaune,4,,685600,1.05018e+06,5.98496e+06,
blutrot,2132,Purpurreiher,1,Jaguar,251748,923779,7.14846e+06,
jaune,2087,Silbón Europeo,2,Amur Leopard,672625,285262,853613,
blanc,2122,Macuco,4,Lion,1.63943e+06,218195,2.19102e+06,
marrón,2139,Purpurreiher,0,Asiatic Lion,1.77817e+06,272391,1.27249e+07,
púrpura,2147,Silbón Europeo,2,,603832,58125,4.99664e+06,
jaune,2113,Malvasía Cabeciblanca,4,Amur Leopard,654251,550626,6.18333e+06,
schneeweiß,2129,Лебедь,2,Leopard,1.88464e+06,82909,3.87645e+06,
rouge,2091,Marreca-cabocla,3,Snow Leopard,2.37921e+06,916177,44390.4,
zitronengelb,2147,Malvasía Cabeciblanca,4,Leopard,325640,862351,100661,
blutrot,2050,Голубь,4,Asiatic Lion,2.13828e+06,892418,5.0832e+06,
türkis,2105,Weißwangengans,3,Asiatic Lion,523364,319072,4.44438e+06,
墨色,2018,Орёл,1,Lion,239495,509456,1.74578e+06,
Red-violet,2146,Weißwangengans,3,Leopard,1.35937e+06,18804.8,2.4456e+06,
kohlrabenschwarz,2084,Голубь,4,,1.02696e+06,929977,3.15873e+06,
púrpura,2128,Silbón Europeo,2,Asiatic Lion,4.05263e+06,103571,3.8059e+06,
violeta,2144,Weißwangengans,4,,1.85686e+06,72086.2,3.11339e+06,
jaune,2132,Ánsar Piquicorto,4,Asiatic Cheetah,1.04962e+06,641921,1.05829e+07,
жёлтый,2139,Purpurreiher,0,Clouded Leopard,342573,509259,5.04669e+06,
Indigo,2148,Weißwangengans,1,,1.07182e+06,1.07217e+06,4.92658e+06,
pechschwarz,2113,Macreuse à bec jaune,1,Mountain Lion,3.20457e+06,735770,5.5461e+06,
dorado,2082,Голубь,1,,3.05894e+06,588048,360666,
schneeweiß,2063,Macuco,1,Mountain Lion,1.85533e+06,21609.4,1.09828e+07,
blutrot,2133,Weißwangengans,4,Cougar,2.73932e+06,230626,5.71422e+06,
schneeweiß,2123,Pipit de Godlewski,1,Cougar,630239,638565,1.51761e+06,
café,2139,Tüpfelsumpfhuhn,0,Leopard,3.81511e+06,176804,6.84861e+06,
schneeweiß,2101,Malvasía Cabeciblanca,4,Jaguar,1.67015e+06,549128,113449,
jaune,2104,Ánsar Piquicorto,1,Clouded Leopard,283490,619083,5.92286e+06,
Grünspan,2098,Tüpfelsumpfhuhn,0,Leopard,2.13561e+06,792677,4.77976e+06,
fumée,2111,Malvasía Cabeciblanca,1,Jaguar,669452,158731,8.86715e+06,
rouge,2107,Macuco,4,Mountain Lion,1.49491e+06,271853,2.94219e+06,
Grünspan,2100,Malvasía Cabeciblanca,0,Cougar,894403,394317,1.15532e+06,
rouge,2101,Pipit de Godlewski,1,Leopard,730854,1.30574e+06,1.08553e+07,
púrpura,2133,Araqua-pintado,2,Snow Leopard,1.50603e+06,609645,1.60143e+06,
ébène,2083,Tüpfelsumpfhuhn,4,,1.29744e+06,697273,9.44338e+06,
紅梅色,2030,Pipit de Godlewski,4,Asiatic Lion,1.30177e+06,98225.7,103164,
dorado,2131,Purpurreiher,1,Jaguar,508944,837620,7.03695e+06,
púrpura,2143,Голубь,2,Cheetah,1.67359e+06,142070,7.87329e+06,
marrón,2145,Голубь,1,Snow Leopard,815469,763910,5.57037e+06,
noir,2103,Purpurreiher,2,Leopard,159283,1.03896e+06,1.10126e+07,
pechschwarz,2058,Лебедь,4,,532384,411958,7.80861e+06,
暗紅色/暗赤色,2089,Silbón Europeo,1,Clouded Leopard,527158,856444,2.72847e+06,
чёрный,2031,Löffelente,4,Cheetah,2.64339e+06,539145,1.39308e+07,
jaune,2091,Macreuse à bec jaune,4,Leopard,1.01642e+06,875503,3.5715e+06,
濡れ羽色,2140,Weißwangengans,1,,453652,378593,1.25441e+07,
jaune,2132,Purpurreiher,1,Clouded Leopard,1.953e+06,333182,5.48785e+06,
türkis,2083,Pipit de Godlewski,0,,663173,575494,1.0796e+06,
rouge,2114,Malvasía Cabeciblanca,4,Clouded Leopard,570892,297722,2.04039e+06,
rouge,2101,Tüpfelsumpfhuhn,2,Leopard,1.051e+06,1.13144e+06,1.21353e+06,
Grünspan,2117,Purpurreiher,2,Cheetah,263896,90343.9,1.28289e+07,
Grünspan,2074,Araqua-pintado,4,Asiatic Lion,805745,312748,8.54096e+06,
rouge,2078,Pipit de Godlewski,1,,883418,655269,7.45693e+06,
zitronengelb,2146,Pipit de Godlewski,4,,1.73251e+06,288427,8.91297e+06,
kohlrabenschwarz,2122,Голубь,1,Snow Leopard,1.81089e+06,92964.2,7.95743e+06,
blutrot,2051,Araqua-pintado,4,Cougar,183507,632993,491118,
marrón,2084,Purpurreiher,1,Lion,1.24199e+06,287478,7.16642e+06,
jaune,2133,Pipit de Godlewski,1,Asiatic Cheetah,450659,821350,5.11037e+06,
rouge,2135,Pipit de Godlewski,4,Lion,4.25679e+06,224940,7.20183e+06,
jaune,2126,Воробей,1,,2.3184e+06,22190.8,475666,
zitronengelb,2111,Голубь,3,Asiatic Cheetah,2.48149e+06,247066,5.33572e+06,
marrón,2134,Weißwangengans,0,,2.93729e+06,140567,2.85962e+06,
púrpura,2096,Weißwangengans,4,,1.09433e+06,418322,1.15894e+07,
zitronengelb,2100,Орёл,3,,2.46395e+06,871923,2.98807e+06,
altrosa,2143,Голубь,4,Cheetah,772987,1.20174e+06,219064,
blutrot,2136,Silbón Europeo,0,Cougar,2.00588e+06,24719.3,4.27717e+06,
Grünspan,2112,Puffin des Baléares,2,Cheetah,3.08375e+06,521394,3.05248e+06,
jaune,2142,Лебедь,1,Clouded Leopard,54780.5,877160,1.38834e+07,
Grünspan,2129,Macreuse à bec jaune,1,,1.37226e+06,136847,4.6525e+06,
blutrot,2109,Purpurreiher,0,Amur Leopard,1.994e+06,305854,3.66492e+06,
blutrot,2068,Purpurreiher,4,Asiatic Cheetah,3.87983e+06,210601,3.43995e+06,
púrpura,2121,Pipit de Godlewski,1,Jaguar,136441,741239,4.02336e+06,
púrpura,2058,Malvasía Cabeciblanca,4,Mountain Lion,451547,55927.8,795171,
schneeweiß,2138,Pipit de Godlewski,1,Cheetah,757743,801180,440228,
fumée,2110,Purpurreiher,0,,4.33101e+06,279140,4.84915e+06,
Cerise,2112,Weißwangengans,2,Jaguar,1.75009e+06,210728,460874,
jaune,2010,Araqua-pintado,1,Mountain Lion,1.2571e+06,421534,763011,
schneeweiß,2099,Silbón Europeo,4,Lion,3.55271e+06,556767,2.59175e+06,
Grünspan,2113,Malvasía Cabeciblanca,1,Cougar,3.17897e+06,1.03417e+06,4.97063e+06,
墨色,2137,Орёл,2,,2.68307e+06,635570,3.66709e+06,
jaune,2061,Pipit de Godlewski,1,Jaguar,3.82866e+06,1.21809e+06,6.7247e+06,
jaune,2107,Malvasía Cabeciblanca,4,,3.39557e+06,311921,2.99943e+06,
blutrot,2090,Araqua-pintado,2,,1.00522e+06,587979,1.7076e+06,
violeta,2123,Лебедь,4,Leopard,2.6066e+06,446131,6.35016e+06,
Grünspan,2107,Tüpfelsumpfhuhn,4,,2.90016e+06,886328,2.06597e+06,
blutrot,2025,Лебедь,1,Asiatic Lion,3.07795e+06,617147,2.90697e+06,
коричневый,2128,Araqua-pintado,1,Asiatic Lion,4.15885e+06,938375,8.87487e+06,
púrpura,2121,Орёл,1,Cougar,1.91695e+06,331100,768568,
altrosa,2074,Pipit de Godlewski,1,Snow Leopard,225354,564120,9.66533e+06,
kohlrabenschwarz,2148,Pipit de Godlewski,4,,266636,192111,3.10354e+06,
rouge,2107,Puffin des Baléares,1,Cougar,809582,426394,1.06522e+07,
blutrot,2079,Weißwangengans,4,,827943,9929.85,7.4251e+06,
schneeweiß,2072,Орёл,2,Cougar,3.70744e+06,325008,1.06261e+07,
noir,2124,Pipit de Godlewski,2,Cheetah,513845,956333,1.30616e+07,
чёрный,2097,Воробей,2,Lion,247082,1.0235e+06,1.33479e+07,
ébène,2048,Macuco,4,,667498,17943.2,4.09882e+06,
pechschwarz,2051,Malvasía Cabeciblanca,4,Lion,689422,954810,4.52721e+06,
marrón,2133,Macuco,4,Asiatic Lion,3.13795e+06,961897,3.76486e+06,
púrpura,2079,Malvasía Cabeciblanca,2,,1.10877e+06,197681,6.45296e+06,
濡れ羽色,2104,Malvasía Cabeciblanca,4,Lion,1.80911e+06,196328,3.65033e+06,
céruse,2129,Pipit de Godlewski,1,Leopard,2.39501e+06,798631,5.28336e+06,
türkis,2142,Weißwangengans,4,,1.46172e+06,936765,4.50411e+06,
Red-violet,2115,Голубь,4,Cheetah,2.38731e+06,399898,4.39265e+06,
schneeweiß,2110,Голубь,3,Leopard,786087,286639,3.38942e+06,
Grünspan,2126,Tüpfelsumpfhuhn,1,Leopard,2.07537e+06,1.3006e+06,9.8707e+06,
marrón,2133,Löffelente,2,Jaguar,1.34303e+06,841471,5.65382e+06,
blanc,2070,Puffin des Baléares,4,Jaguar,1.55977e+06,146777,5.30929e+06,
café,2118,Орёл,3,Mountain Lion,180649,290315,1.33319e+07,
blutrot,2057,Purpurreiher,2,Leopard,162361,605080,2.25372e+06,
pechschwarz,2080,Орёл,0,,3.96655e+06,937921,379164,
黄枯茶,2120,Pipit de Godlewski,0,Jaguar,1.62129e+06,564041,6.87098e+06,
Grünspan,2123,Löffelente,0,,2.77264e+06,362667,3.01639e+06,
zitronengelb,2127,Голубь,4,Amur Leopard,898607,394083,2.74768e+06,
marrón,2005,Weißwangengans,1,Lion,1.07162e+06,269148,1.26669e+07,
жёлтый,2075,Macreuse à bec jaune,0,,3.96351e+06,1.09277e+06,4.4094e+06,
жёлтый,2050,Weißwangengans,1,,713744,317006,1.05321e+07,
altrosa,2052,Pipit de Godlewski,4,Cheetah,1.45586e+06,766020,1.75061e+06,
blutrot,2120,Tüpfelsumpfhuhn,2,,3.88881e+06,67393.1,140545,
暗紅色/暗赤色,2133,Pipit de Godlewski,2,,676216,1.18575e+06,2.99795e+06,
violeta,2094,Purpurreiher,0,Cheetah,334840,14589.1,7.21219e+06,
Grünspan,2107,Pipit de Godlewski,0,Leopard,1.67643e+06,31677.6,1.45373e+06,
красный,2148,Macreuse à bec jaune,4,,3.66516e+06,715770,4.96697e+06,
pechschwarz,2069,Löffelente,3,Leopard,449904,974294,1.11449e+07,
schneeweiß,2118,Pipit de Godlewski,1,,3.32962e+06,925097,4.8308e+06,
blutrot,2060,Macreuse à bec jaune,2,Cheetah,607552,877217,2.70538e+06,
blutrot,2080,Weißwangengans,2,Cheetah,2.25034e+06,1.12207e+06,5.72802e+06,
fumée,2114,Macuco,2,,837945,131251,8.79292e+06,
noir,2071,Puffin des Baléares,1,Lion,2.0835e+06,102685,4.77271e+06,
暗紅色/暗赤色,2103,Macuco,4,Asiatic Lion,2.48042e+06,540147,6.84176e+06,
púrpura,2058,Pipit de Godlewski,4,Jaguar,1.24601e+06,809419,1.24356e+07,
türkis,2097,Araqua-pintado,4,,864132,1.15658e+06,2.32178e+06,
rouge,2149,Weißwangengans,0,Clouded Leopard,327088,551309,7.52871e+06,
rouge,2120,Silbón Europeo,4,Clouded Leopard,3.01552e+06,454842,1.51621e+06,
violeta,2134,Purpurreiher,1,Cougar,1.33249e+06,1.01246e+06,9.07936e+06,
blutrot,2129,Löffelente,2,Asiatic Lion,178963,68318.6,7.95807e+06,
jaune,2051,Pipit de Godlewski,1,,907232,1.02951e+06,1.34803e+07,
жёлтый,2067,Malvasía Cabeciblanca,4,Asiatic Lion,789637,478057,8.37373e+06,
púrpura,2108,Araqua-pintado,1,Leopard,1.82029e+06,792739,843717,
jaune,2097,Tüpfelsumpfhuhn,4,Lion,2.41257e+06,75160.1,207143,
marrón,2136,Лебедь,2,,2.77955e+06,1.08232e+06,6.64942e+06,
púrpura,2119,Weißwangengans,4,,1.50826e+06,497980,2.30339e+06,
rouge,2112,Weißwangengans,1,,2.39802e+06,152885,6.78124e+06,
blanc,2029,Malvasía Cabeciblanca,1,,2.81237e+06,453609,3.49717e+06,
jaune,2135,Macreuse à bec jaune,2,Snow Leopard,1.31404e+06,1.37877e+06,7.17106e+06,
濡れ羽色,2065,Tüpfelsumpfhuhn,4,Asiatic Lion,2.5549e+06,281131,1.03822e+07,
жёлтый,2098,Araqua-pintado,2,,713435,701442,5.58288e+06,
серый,2034,Macreuse à bec jaune,1,Clouded Leopard,567850,105604,7.87083e+06,
marrón,2087,Purpurreiher,2,Cougar,1.23547e+06,971854,445834,
dorado,2111,Purpurreiher,4,Mountain Lion,1.21334e+06,1.2364e+06,1.00351e+07,
жёлтый,2013,Weißwangengans,4,,2.50597e+06,537614,1.042e+07,
blutrot,2132,Goéland d'Amérique,1,Asiatic Lion,2.22701e+06,147541,5.46198e+06,
白湯,2096,Macreuse à bec jaune,4,Snow Leopard,2.08164e+06,177708,72871.3,
Cerise,2119,Pipit de Godlewski,4,,1.43304e+06,548296,1.17633e+06,
marrón,2138,Macreuse à bec jaune,0,,2.19642e+06,121468,1.25515e+07,
violeta,2131,Tüpfelsumpfhuhn,1,Lion,1.48667e+06,606472,2.92578e+06,
violeta,2117,Malvasía Cabeciblanca,1,Jaguar,2.04355e+06,326228,176844,
kohlrabenschwarz,2112,Weißwangengans,2,,1.11775e+06,1.03077e+06,9.77712e+06,
céruse,2040,Weißwangengans,1,Asiatic Cheetah,884310,637978,9.5897e+06,
blanc,2126,Голубь,2,Mountain Lion,396240,276779,1.04555e+07,
pechschwarz,2132,Pipit de Godlewski,4,,3.08827e+06,251389,2.03397e+06,
pechschwarz,2142,Лебедь,4,,2.21821e+06,675907,1.41167e+06,
blutrot,2142,Araqua-pintado,2,,946927,367668,5.7415e+06,
marrón,2118,Puffin des Baléares,1,Leopard,1.98805e+06,502820,2.27026e+06,
zitronengelb,2068,Воробей,2,,829457,172059,7.30615e+06,
Grünspan,2039,Purpurreiher,2,Asiatic Lion,1.61305e+06,71391.5,502323,
marrón,2096,Goéland d'Amérique,2,Amur Leopard,290448,610249,7.45556e+06,
Grünspan,2053,Орёл,3,Asiatic Lion,1.64797e+06,244899,3.73804e+06,
jaune,2137,Silbón Europeo,2,Asiatic Cheetah,757295,802100,471460,
dorado,2137,Silbón Europeo,2,Leopard,3.40288e+06,54672.8,9.12525e+06,
blutrot,2039,Macreuse à bec jaune,0,Asiatic Cheetah,1.79489e+06,764496,4.08017e+06,
violeta,2100,Araqua-pintado,1,Lion,1.46629e+06,174824,2.87298e+06,
Grünspan,2118,Macuco,4,Leopard,2.15473e+06,296226,1.32726e+07,
Red-violet,2109,Löffelente,1,Cougar,2.26652e+06,1.18822e+06,5.83089e+06,
zitronengelb,2095,Pipit de Godlewski,4,Asiatic Lion,1.68616e+06,749322,261257,
kohlrabenschwarz,2104,Silbón Europeo,4,Asiatic Lion,1.34612e+06,1.11275e+06,4.2809e+06,
schneeweiß,2054,Macreuse à bec jaune,2,,3.36087e+06,719309,2.55864e+06,
jaune,2120,Löffelente,4,Mountain Lion,2.69504e+06,980113,25061.6,
jaune,2079,Goéland d'Amérique,0,Clouded Leopard,1.03521e+06,63178.5,6.42583e+06,
pechschwarz,2142,Silbón Europeo,2,,465738,778971,8.37041e+06,
jaune,2102,Araqua-pintado,2,Mountain Lion,250016,387636,1.07417e+07,
schneeweiß,2138,Purpurreiher,4,Asiatic Lion,1.25689e+06,123321,1.38941e+06,
schneeweiß,2075,Macuco,4,Clouded Leopard,1.14734e+06,145348,3.11407e+06,
pechschwarz,2147,Орёл,2,Cheetah,1.97598e+06,204920,7.11389e+06,
紅梅色,2132,Silbón Europeo,4,Asiatic Lion,3.31363e+06,261591,3.60847e+06,
violeta,2144,Голубь,1,Cheetah,3.46224e+06,323798,2.93278e+06,
rouge,2071,Malvasía Cabeciblanca,2,Leopard,486966,497827,9.58731e+06,
